respid,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)"
18890,0.0859540196106997,-3.238155929285552,-0.5639682814452027,-0.7862429820560922,0.1257605795099651,-4.682106169817986,-2.275190995362664,-0.6231068371713836,0.2327638369552307,-6.879922073981975,-4.588740060906414,-3.299223387803785
18973,0.0750482509445074,-3.454113835436912,-0.8647417719483333,-1.1035107247052691,0.112122884255896,-4.61896133432259,-2.1499791756952598,-0.6815544407504428,0.200307692901929,-5.481083333255381,-3.351600607966038,-2.3307743726490355
18991,0.0663124308618937,-3.072518035041079,-0.3787176140712029,-0.4958102744653395,0.0991221750544125,-4.893874969288578,-2.30763565779075,-0.4406793464339187,0.1714267674980668,-5.66282884686466,-3.489977055745045,-2.153177266422216
19083,0.0816075477172526,-3.4465132627582777,-0.8020399544919455,-1.029447780029602,0.1035977260462845,-4.258407045532265,-1.6393374927866855,-0.0487793452175984,0.1541594191902566,-5.022831133450221,-2.796351861311045,-1.5300868424308214
19118,0.073538377601618,-3.4899876872937265,-0.7511891694000337,-0.9501664824185716,0.0988774326399858,-5.044019839979262,-2.417633965857291,-0.6436610993316677,0.2053087582583283,-7.256629878546752,-4.919925979480436,-3.721720518579585
19122,0.0820161660072565,-2.6399254946062944,0.0284983455453798,-0.1499379113231305,0.1086794158093185,-3.8655320278067657,-1.290039656942924,0.3405676881018875,0.1946409173763994,-5.153766564992454,-2.7846332332097186,-1.656512743820074
19133,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
19222,0.0846645044557279,-2.818972497136307,-0.1425556259000926,-0.1164707021504314,0.1081831966594824,-3.932053860137622,-1.323180331355707,0.4325909869251791,0.219680175753817,-6.086079599670293,-3.583921745460314,-2.253631273638353
19223,0.0675776176247066,-4.078608344582729,-1.3700134408860962,-1.5940334168359296,0.1036761885537944,-5.1140765592869615,-2.6707812894193634,-1.1320344263108324,0.2833756827339553,-8.421304837170618,-6.424575492564675,-5.532578566911288
19244,0.0727994499599369,-4.151086023328558,-1.427687239557113,-1.63921764943228,0.0935280441569281,-4.995107634547876,-2.304495530471121,-0.575996132236392,0.148450478728243,-5.916416460889467,-3.790311182908702,-2.3958510709036065
