respid,age,totinc,retinc,hlth,atr_w,atr_r
8377,64,4241.234386341775,5000.0,1,0.04833288384154223,0.0
8390,68,30088.556808127207,30088.556808127207,1,0.06287731863502964,0.06287731863502964
8393,60,42950.02178048296,26652.49009766684,1,0.14219038973585388,0.04143701822882094
8401,67,58861.67370580848,58861.67370580848,1,0.06399206121653597,0.06399206121653597
8416,70,17000.0,17000.0,1,0.0,0.0
8417,60,25885.23886873684,25267.300658469932,1,0.20511583767521846,0.0822282998229228
8418,60,114125.60390081101,114125.60390081101,1,0.32899823024460456,0.32899823024460456
8420,64,55599.10902958723,58558.29083907843,1,0.14411760596997855,0.14879435821659076
8424,62,62574.02967657546,35254.45597191964,1,0.1580944264832766,0.053452267271642394
8430,61,34307.40999105151,34307.40999105151,1,0.10354018267642218,0.10354018267642218
8434,66,43848.17515191887,43848.17515191887,1,0.12370279288397028,0.12370279288397028
8439,61,17943.37004330469,17943.37004330469,1,0.10493478237251673,0.10493478237251673
8440,70,50752.345054615755,50752.345054615755,1,0.05500909098650238,0.05500909098650238
8460,64,35166.474426875735,35166.474426875735,1,0.08677469087416512,0.08677469087416512
8461,61,5999.962833740681,5999.962833740681,1,2.0647701118197697e-06,2.0647701118197697e-06
8467,61,44444.721894983515,44444.721894983515,1,0.2692230021966721,0.2692230021966721
8474,62,32756.02892110761,18000.0,1,0.08037492884820865,0.0
8475,64,28615.232109634624,22996.397103799995,1,0.05354259164678421,0.011748924127108491
8486,65,54910.05640889257,54910.05640889257,1,0.1416486568128307,0.1416486568128307
8503,60,127529.27989430999,127529.27989430999,1,0.02344567009614265,0.02344567009614265
8504,69,58188.54823168287,58188.54823168287,1,0.08716779527363613,0.08716779527363613
8505,66,26697.53827655689,26697.53827655689,1,0.17355037876934026,0.17355037876934026
8510,68,26772.700416074815,26772.700416074815,1,0.0002017187430611942,0.0002017187430611942
8513,64,4493.09243977811,4493.09243977811,1,0.22353112335036981,0.22353112335036981
8529,63,40016.38300825587,40016.38300825587,1,0.15743623071465893,0.15743623071465893
8532,63,48618.05443603201,48301.998749841776,1,0.22677944660171723,0.16585115154962768
8538,70,39960.85402794751,39960.85402794751,1,0.1251156956104189,0.1251156956104189
8556,69,28128.005632617547,28128.005632617547,1,0.00846638867455002,0.00846638867455002
8561,70,71273.08185262501,71273.08185262501,1,0.07735267252109214,0.07735267252109214
8574,64,8699.795873469722,8699.795873469722,1,7.820856047724426e-06,7.820856047724426e-06
8576,65,79582.14864466226,79582.14864466226,1,0.11108494314756487,0.11108494314756487
8612,70,18300.0,18300.0,1,0.0,0.0
8614,65,26653.96001402625,26653.96001402625,1,0.12132369086916601,0.12132369086916601
8623,70,41810.767218671346,41810.767218671346,1,0.17082466133373939,0.17082466133373939
8637,63,37424.23395063316,37424.23395063316,1,0.10920183530472294,0.10920183530472294
8648,70,34822.79201614234,34822.79201614234,1,0.03134220758742565,0.03134220758742565
8649,66,63470.53333084645,24608.69203064937,1,0.17153542208896935,0.01401500741254707
8669,63,29511.230107786603,29511.230107786603,1,0.05919300779602253,0.05919300779602253
8698,62,58792.035799431345,58792.035799431345,1,0.16220277656172716,0.16220277656172716
8718,63,23266.97279571252,23266.97279571252,1,0.1096158047221582,0.1096158047221582
8719,68,62156.97778116367,62156.97778116367,1,0.11713173674146067,0.11713173674146067
8721,62,41912.70462730316,41912.70462730316,1,0.11045454243622278,0.11045454243622278
8734,65,95234.89814147228,95234.89814147228,1,0.2940938473860979,0.2940938473860979
8749,62,33833.60261269549,33833.60261269549,1,0.08768200625287148,0.08768200625287148
8765,69,72133.95994395982,72133.95994395982,1,0.15834466604886846,0.15834466604886846
8767,68,48096.62541184868,48096.62541184868,1,0.16986681261348865,0.16986681261348865
8781,63,33700.21313499152,33700.21313499152,1,0.08389671339920517,0.08389671339920517
8783,63,35436.60477290854,27159.312498216244,1,0.1635583267420339,0.08443789267952567
8786,65,29553.744951040506,29553.744951040506,1,0.08570587608094503,0.08570587608094503
8790,68,39379.833183218696,39379.833183218696,2,0.12140517806299289,0.12140517806299289
8810,62,55558.63212683396,55558.63212683396,1,0.18409949737461492,0.18409949737461492
