respid,female,college,nkids,anykids,university,pexhaust,pbeq,pnhome
5141,0,0.0,2.0,1,1.0,0.2,0.0,0.0
5155,1,0.0,0.0,0,1.0,0.0,1.0,0.9
5156,0,0.0,3.0,1,1.0,0.25,0.0,0.5
5164,0,0.0,6.0,1,1.0,0.3,1.0,0.4
5231,1,0.0,0.0,0,1.0,0.5,,1.0
5236,0,0.0,1.0,1,0.0,1.0,1.0,
5262,0,1.0,4.0,1,0.0,,,
5267,0,0.0,3.0,1,0.0,0.0,0.2,0.5
5281,1,0.0,1.0,1,1.0,0.75,1.0,0.1
5291,1,0.0,4.0,1,1.0,0.1,0.0,0.8
5317,1,0.0,2.0,1,1.0,0.2,1.0,0.95
5321,1,0.0,2.0,1,0.0,,1.0,0.75
5322,1,0.0,2.0,1,0.0,,,0.5
5344,1,0.0,2.0,1,0.0,0.1,0.2,0.05
5351,0,0.0,2.0,1,1.0,0.0,1.0,0.1
5353,0,1.0,2.0,1,0.0,1.0,0.3,0.75
5354,1,0.0,2.0,1,1.0,1.0,0.8,0.1
5356,1,1.0,2.0,1,0.0,,,
5366,0,1.0,1.0,1,0.0,,,
5372,0,0.0,2.0,1,1.0,,,
5392,0,0.0,3.0,1,1.0,0.0,1.0,0.25
5404,1,0.0,2.0,1,1.0,1.0,1.0,0.0
5407,0,0.0,2.0,1,0.0,0.5,0.75,
5430,0,0.0,0.0,0,1.0,1.0,0.8,0.7
5433,0,0.0,2.0,1,1.0,0.75,0.25,
5438,0,0.0,3.0,1,1.0,0.05,0.9,0.5
5454,0,0.0,3.0,1,1.0,0.5,1.0,
5479,1,1.0,3.0,1,0.0,,,0.5
5495,0,0.0,0.0,0,1.0,0.0,1.0,0.5
5503,0,0.0,3.0,1,0.0,,,
5513,1,0.0,3.0,1,0.0,,,
5526,0,0.0,2.0,1,0.0,0.0,0.8,0.1
5529,1,0.0,0.0,0,1.0,1.0,0.0,1.0
5541,0,1.0,0.0,0,0.0,0.5,0.5,0.5
5557,0,0.0,2.0,1,0.0,0.0,1.0,0.0
5564,0,1.0,2.0,1,0.0,0.3,0.9,0.25
5568,0,0.0,3.0,1,1.0,0.2,0.7,0.5
5572,0,0.0,5.0,1,1.0,0.0,1.0,0.8
5610,0,0.0,0.0,0,1.0,1.0,0.0,0.8
5612,0,0.0,2.0,1,1.0,0.0,1.0,0.75
5631,0,1.0,2.0,1,0.0,0.0,1.0,0.5
5663,0,0.0,0.0,0,1.0,0.0,1.0,1.0
5676,0,0.0,2.0,1,1.0,0.3,0.9,0.5
5693,0,0.0,3.0,1,1.0,0.0,1.0,0.5
5703,0,0.0,2.0,1,1.0,0.5,0.5,0.75
5707,1,1.0,3.0,1,0.0,0.8,0.8,0.5
5743,0,1.0,2.0,1,0.0,0.1,0.9,0.7
5772,0,0.0,3.0,1,0.0,,1.0,
5795,0,1.0,3.0,1,0.0,1.0,0.1,0.4
5797,1,0.0,1.0,1,0.0,0.5,0.0,0.0
5857,1,0.0,3.0,1,0.0,0.0,1.0,
5885,0,1.0,1.0,1,0.0,0.8,0.5,0.9
5933,0,1.0,6.0,1,0.0,1.0,0.0,
5941,0,1.0,2.0,1,0.0,1.0,1.0,1.0
5943,1,0.0,2.0,1,0.0,0.15,0.15,
5949,0,0.0,2.0,1,0.0,1.0,0.2,1.0
5951,1,0.0,0.0,0,0.0,0.0,0.75,0.0
5956,0,0.0,1.0,1,1.0,0.25,1.0,0.6
5961,1,0.0,1.0,1,1.0,,0.5,
5968,1,1.0,2.0,1,0.0,0.2,0.9,0.5
6001,0,0.0,3.0,1,0.0,0.0,,1.0
6010,0,0.0,2.0,1,1.0,0.0,1.0,1.0
6012,0,0.0,2.0,1,1.0,0.9,1.0,0.1
6028,1,0.0,2.0,1,0.0,,0.75,0.8
6029,0,0.0,5.0,1,1.0,0.95,0.95,
6041,0,0.0,3.0,1,0.0,0.25,0.75,0.75
6049,0,0.0,3.0,1,1.0,0.5,0.9,0.15
6060,0,0.0,2.0,1,1.0,0.75,1.0,0.1
6073,0,1.0,0.0,0,0.0,0.5,1.0,0.1
6089,0,0.0,2.0,1,0.0,0.8,0.8,0.5
6126,1,0.0,3.0,1,1.0,0.0,0.0,0.0
6143,0,0.0,2.0,1,0.0,0.25,0.95,0.8
6145,0,0.0,3.0,1,0.0,0.5,0.0,1.0
6146,0,0.0,2.0,1,0.0,,,
6159,0,0.0,3.0,1,0.0,0.9,1.0,0.5
6178,0,0.0,0.0,0,1.0,,,0.9
6196,0,0.0,2.0,1,0.0,0.9,0.9,0.5
6201,0,0.0,0.0,0,1.0,0.25,0.6,0.5
6217,0,0.0,6.0,1,1.0,0.75,0.9,0.95
