respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,share_rrsp
15083,949.5838434120577,3,1,1,275000.0,0.0,950000.0,0.9090909090909091
15087,3223.604382708034,3,1,1,391371.775943546,0.0,459701.1052686292,0.8977953892981545
15102,1666.0411339049424,3,0,1,343000.0,0.0,850000.0,0.8163265306122449
15106,4427.977115973115,3,0,1,100000.0,0.0,425955.3216379259,0.0
15108,3223.604382708034,3,1,1,620000.0,0.0,850000.0,0.8064516129032258
15118,4427.977115973115,3,1,1,310023.8618600863,0.0,706322.7054597336,0.7604175485577165
15122,949.5838434120577,3,1,1,534000.0,0.0,1300000.0,0.6554307116104869
15133,4427.977115973115,3,1,1,340000.0,0.0,750000.0,0.5882352941176471
15151,949.5838434120577,3,0,1,120000.0,0.0,775000.0,0.8333333333333334
15156,949.5838434120577,3,0,1,510000.0,200000.0,2000000.0,0.9803921568627451
15186,949.5838434120577,3,1,1,680000.0,0.0,2000000.0,0.7352941176470589
15216,949.5838434120577,11,1,1,512600.0,0.0,590000.0,0.9754194303550526
15237,897.8346892314378,1,1,1,570000.0,0.0,1600000.0,0.8771929824561403
15255,688.7628253365825,4,1,1,750000.0,0.0,900000.0,0.6666666666666666
15266,688.7628253365825,4,1,1,506435.07609632495,180000.0,450000.0,0.9872933838905326
15270,4398.058351676,3,1,1,577753.905410853,0.0,1600000.0,0.8654203724411684
15273,688.7628253365825,4,1,1,511089.9683519374,0.0,940540.8624818507,0.846086942010303
15290,688.7628253365825,4,1,1,280000.0,0.0,650000.0,0.5
15292,999.5341708562004,5,1,1,1000000.0,0.0,2000000.0,0.5
15341,897.8346892314378,1,0,1,55000.0,0.0,750000.0,0.5454545454545454
15385,8497.513381368772,1,0,1,20500.0,0.0,1000000.0,0.975609756097561
15390,897.8346892314378,1,1,1,420000.0,0.0,800000.0,0.7142857142857143
15404,897.8346892314378,7,1,1,300000.0,160000.0,600000.0,1.0
15406,688.7628253365825,4,1,1,280000.0,0.0,500000.0,0.5357142857142857
15407,1321.982893522959,2,1,1,299263.52949571656,0.0,2000000.0,0.7022112324738802
15449,3922.9483782185284,1,0,1,210000.0,0.0,950000.0,0.9523809523809523
15452,897.8346892314378,1,1,1,250000.0,0.0,1700000.0,1.0
15460,4230.715283026676,1,0,1,525000.0,0.0,1800000.0,0.8571428571428571
15462,3922.9483782185284,1,1,1,500000.0,0.0,1200000.0,0.8
15464,4942.474513256949,1,1,1,162000.0,17000.0,750000.0,0.9876543209876543
15469,3922.9483782185284,7,1,1,140745.82979793148,0.0,500000.0,0.6862309351008125
15478,897.8346892314378,1,1,1,575000.0,0.0,1050503.0992544552,0.8695652173913043
15488,897.8346892314378,1,1,1,920000.0,0.0,1100000.0,0.5434782608695652
15517,1278.4983244321725,1,1,1,600000.0,0.0,1600000.0,0.8333333333333334
15524,897.8346892314378,7,1,1,140000.0,0.0,1200000.0,0.07142857142857142
